slug,name,domain,category,ycBatch,description,source
bemlo,Bemlo,bemlo.com,Healthcare IT,W22,AI-native scheduling and workforce management platform for healthcare,yc-w22
cozmo-ai,Cozmo AI,hellocozmo.ai,B2B,W22,Voice AI workforce for regulated businesses,yc-w22
finflx,FinFlx,finflx.com,Fintech,W22,Flexible Workplace Savings plans for SMEs in MENA.,yc-w22
convoy-2,Convoy,getconvoy.io,"Engineering, Product and Design",W22,Webhooks Gateway for outgoing and incoming webhooks.,yc-w22
cotera,Cotera,cotera.co,Analytics,W22,The fastest way to build an AI agent,yc-w22
super-send,Super Send,supersend.io,Marketing,W22,"Super Send automates personalized outreach across email, LinkedIn,…",yc-w22
stock-unlock,Stock Unlock,stockunlock.com,Fintech,W22,Web-app | investment education and analysis tools for retail investors,yc-w22
strac,Strac,strac.io,Security,W22,"Data Discovery, DLP, DSPM for SaaS, Cloud, Gen AI & Endpoints",yc-w22
nabla-bio,Nabla Bio,nabla.bio,Drug Discovery and Delivery,S20,We use AI to design antibodies for intractable diseases,yc-s20
bloom-3,Bloom,bloomapp.com,Consumer Finance,W21,Investing app that teaches you how to invest,yc-w21
cloudthread,Cloudthread,cloudthread.io,Analytics,S21,Eliminate Cloud Waste. Attribute and Track Savings. Engage Engineers.,yc-s21
zoios,Zoios.,zoios.io,Human Resources,S21,"Help start- and scale-ups excel at People, Culture and Performance.",yc-s21
whalesync,Whalesync,whalesync.com,Marketing,S21,Manage your website from your favorite tools like Airtable and Notion,yc-s21
cabal,Cabal,getcabal.com,B2B,S21,"Private workspace for founders, investors, and advisors to collaborate",yc-s21
cloudanix,Cloudanix,cloudanix.com,Security,S21,Cloud and Container Security Platform,yc-s21
endla,Endla,endla.com,"Engineering, Product and Design",S21,Software that increases the value of oil & gas wells,yc-s21
pesto,Pesto,getpesto.com,Credit and Lending,W21,,yc-w21
rejoy-health,Rejoy Health,rejoyhealth.com,Healthcare IT,W21,AI-powered healthcare information,yc-w21
routine,Routine,routine.co,Productivity,W21,AI-native all-in-one workspace for startups,yc-w21
biodock,Biodock,biodock.ai,Therapeutics,W21,Cloud AI microscopy automation,yc-w21
kanda,Kanda,getkanda.com,Credit and Lending,W21,Affirm for general contractors,yc-w21
axiom-ai,Axiom.ai,axiom.ai,Operations,W21,No-code Browser RPA,yc-w21
signadot,Signadot,signadot.com,Infrastructure,W20,Shift Left Testing for Microservices,yc-w20
sst,SST,sst.dev,Infrastructure,W21,For whatever you build.,yc-w21
speedscale,Speedscale,speedscale.com,Infrastructure,S20,Accelerate development by simulating production conditions with real…,yc-s20
memberstack,Memberstack,memberstack.com,Payments,S20,Build a custom SaaS or membership site with Webflow or Wordpress,yc-s20
response,Response,inbox.tryresponse.com,Supply Chain and Logistics,S20,Turn customer emails into ERP-ready orders.,yc-s20
jet-admin,Jet Admin,jetadmin.io,"Engineering, Product and Design",W20,No-code business app builder,yc-w20
alude,Alude,alude.com.br,Housing and Real Estate,W20,We offer free software that automates bureaucracy for real-estate…,yc-w20
alpha-vantage,Alpha Vantage,alphavantage.co,Banking and Exchange,S18,Developer-friendly and enterprise-grade APIs for financial market…,yc-s18
darmiyan,Darmiyan,darmiyan.com,Diagnostics,S17,Early detection of Alzheimer's disease,yc-s17
billforward,Billforward,billforward.io,Payments,S14,"Subscription billing, rate plan management and analytics as a…",yc-s14
uplane,Uplane,uplane.com,Marketing,F25,Replace marketing agencies with AI,yc-f25
realroots,RealRoots,therealroots.com,Social,S25,AI social app for women,yc-s25
clado,Clado,clado.ai,Recruiting and Talent,X25,Deep Research for People,yc-x25
confident-ai,Confident AI,confident-ai.com,"Engineering, Product and Design",W25,The Leading LLM Eval and Observability Platform for AI Quality,yc-w25
ctgt,CTGT,ctgt.ai,Infrastructure,F24,CTGT safeguards against reputational risk from GenAI across your org,yc-f24
revyl,Revyl,revyl.ai,Infrastructure,F24,AI-Native Mobile Testing,yc-f24
simcare,SimCare,simcare.ai,Healthcare,S24,AI avatars to scale healthcare training.,yc-s24
understood-care,Understood Care,understoodcare.com,Healthcare,S24,Healthcare personal assistants for Medicare patients.,yc-s24
unbound,Unbound,getunbound.ai,Security,S24,Use AI tools without fear of data leakage,yc-s24
pythagora,Pythagora,pythagora.ai,"Engineering, Product and Design",W24,Worlds first all-in-one AI development platform.,yc-w24
indemni,Indemni,indemni.com,Supply Chain and Logistics,W24,Cargo Theft and Fraud Prevention Platform,yc-w24
open,Open,open.cx,"Engineering, Product and Design",W24,Enterprise AI customer support,yc-w24
subsets,Subsets,subsets.com,B2B,S23,AI-driven Retention Automation for subscription media businesses.,yc-s23
elyos-ai,Elyos AI,elyos.ai,Operations,S23,AI Customer Service Agents for trades and field services,yc-s23
spine-ai,Spine AI,getspine.ai,"Engineering, Product and Design",S23,Manage a swarm of AI agents to get real work done,yc-s23
venta-ai,Venta AI,getventa.ai,Sales,S23,The compliant AI colleague for sales teams in Europe,yc-s23
concourse,Concourse,concourse.co,Finance and Accounting,W23,AI Agents for corporate finance teams,yc-w23
narrative,Narrative,trynarrative.com,Productivity,W23,AI-powered QA testing platform,yc-w23
fastgen,Fastgen,fastgen.com,"Engineering, Product and Design",W23,Webflow for the Backend,yc-w23
skyhook,Skyhook,skyhook.io,"Engineering, Product and Design",W23,"PaaS-like experience with the power of Kubernetes, on your cloud",yc-w23
chima,Chima,withchima.com,B2B,W23,Building infrastructure tools to help large companies customize their…,yc-w23
benchmark,Benchmark,withbenchmark.com,Finance and Accounting,W23,Decision infrastructure for investment firms,yc-w23
koywe,Koywe,koywe.com,Fintech,W23,Crypto On and Off Ramp for Latam,yc-w23
invopop,Invopop,invopop.com,Finance and Accounting,W23,We help global software companies comply with local tax reporting,yc-w23
trackstar,Trackstar,trackstarhq.com,Supply Chain and Logistics,W23,Plaid for supply chain logistics,yc-w23
icepanel,IcePanel,icepanel.io,"Engineering, Product and Design",W23,Design and explain complex software architecture.,yc-w23
sameday,Sameday,gosameday.com,Sales,W23,The leading AI workforce for the trades.,yc-w23
wolfia,Wolfia,wolfia.com,Sales,S22,"We help security, legal and sales teams answer customer questions",yc-s22
intuned,Intuned,intunedhq.com,"Engineering, Product and Design",S22,Reliably integrate with websites that don’t have official APIs,yc-s22
flycode,FlyCode,flycode.com,Fintech,S22,Recover failed subscription payments to increase retention and LTV,yc-s22
unthread,Unthread,unthread.io,Productivity,S22,Agentic service management in Slack,yc-s22
superbar,Superbar,superbar.ai,Marketing,S22,Sales AI for your Website,yc-s22
relate,Relate,relate.so,Sales,S22,All-in-One Sales and Marketing CRM for B2B teams,yc-s22
quadrant-health,Quadrant Health,quadrant.health,Healthcare IT,W21,Analyzing EHR and messaging data to predict disease before it occurs.,yc-w21
elevate,Elevate (formerly Bloom),elevatepay.co,Payments,W22,US based USD accounts for non-US residents,yc-w22
lizza,Lizza,lizza.link,Retail,W22,AI-assitant for managing creator-brand partnerships,yc-w22
llamafarm,LlamaFarm,llamafarm.dev,Infrastructure,W22,"Build powerful AI projects locally, deploy anywhere",yc-w22
ploomber,Ploomber,ploomber.io,"Engineering, Product and Design",W22,Heroku for AI,yc-w22
tradex,Mindbase,mymindbase.ai,Productivity,W22,"AI Clone for scalable, authentic engagement with your entire audience",yc-w22
bobidi,Bobidi,upswell.ai,Marketing,W22,Restaurant Loyalty Using Quiz,yc-w22
lovage,Lovage,getlovage.com,Operations,W22,"Smart, virtual receptionists for local businesses.",yc-w22
take-app,Take App,take.app,B2B,W22,Shopify for WhatsApp commerce,yc-w22
sphere,Sphere,getsphere.com,B2B,W22,"AI-powered sales tax, VAT and GST compliance",yc-w22
netmaker,Netmaker,netmaker.io,Infrastructure,W22,Automated WireGuard networks for distributed systems and Kubernetes,yc-w22
concord-materials,Concord Materials,concordmaterials.com,Construction,S21,Automating procurement and finance for construction companies,yc-s21
mindstate-design-labs,Mindstate Design Labs,mindstate.design,Drug Discovery and Delivery,S21,Clinical-stage AI neuroengineering platform,yc-s21
salarybook,SalaryBook,salarybook.co.in,B2B,S21,"Mobile first solution for Payroll, employee & expense management",yc-s21
coinrule,Coinrule,coinrule.com,Fintech,S21,Coinrule Automates Your Crypto and Stock Investments,yc-s21
floweq,FlowEQ,floweq.com,Productivity,W21,No-code workflow tool,yc-w21
potion,Potion,potion.ai,B2B,S21,AI for product formulation,yc-s21
hypercore,Hypercore,hypercore.ai,Credit and Lending,S21,Loan management software for private lenders,yc-s21
compose-ai,Compose.ai,compose.ai,Productivity,W21,Cut your writing time by 40% with AI-powered autocomplete,yc-w21
arpio,Arpio,arpio.io,Infrastructure,W21,Recover from any outage in 10 minutes or less.,yc-w21
polytomic,Polytomic,polytomic.com,Analytics,W20,No-code data syncing between your systems,yc-w20
adyn,adyn,adynhealth.com,Consumer Health and Wellness,S20,The first test designed to prevent birth control side effects,yc-s20
ukama,Ukama,ukama.com,B2B,S20,Empowering anyone to build cellular network,yc-s20
stacker,Stacker,stackerhq.com,Productivity,S20,Turns spreadsheets into internal apps and customer portals,yc-s20
tasker-ai,Tasker AI,tasker.ai,B2B,W20,Your AI co-worker,yc-w20
payflow-2,Payflow,payflow.ai,Finance and Accounting,S20,"AI FP&A Agent for insights, reports, planning and forecasting.",yc-s20
jitter,Jitter,jitter.video,"Engineering, Product and Design",W20,Fast and simple animation tool on the web 💫,yc-w20
legionfarm,Legionfarm,legionfarm.com,Gaming,W20,AI workspace for professional gamers,yc-w20
zynq,Zynq,zynq.io,Productivity,W20,Office management platform that optimizes your hybrid workplace,yc-w20
yearend,yearend,yearend.com,Consumer Finance,W20,Optimize your equity and taxes in real-time.,yc-w20
lofty,Lofty,lofty.ai,Fintech,S19,Building the NASDAQ for Real Estate.,yc-s19
dex,Dex,getdex.com,Home and Personal,S19,Dex is a personal CRM that reminds you to keep in touch with the…,yc-s19
sunsama,Sunsama,sunsama.com,Productivity,W19,Daily planner for busy professionals,yc-w19
quickchat-ai,Quickchat AI,quickchat.ai,Productivity,S18,Conversation Design platform to build Al Assistants tailored to your…,yc-s18
